Well,528/20,590/20
A1,1496
B1,2019
C1,2426
D1,2
E1,1431
F1,1659
G1,1600
H1,2
A2,1522
B2,2685
C2,3886
D2,2
E2,1576
F2,1597
G2,1585
H2,1
A3,1481
B3,2863
C3,4396
D3,3
E3,1
F3,1
G3,2
H3,1
A4,1539
B4,3521
C4,5548
D4,2
E4,3
F4,1
G4,9
H4,2
A5,1554
B5,3962
C5,6610
D5,1
E5,1
F5,2
G5,2
H5,2
A6,1556
B6,2269
C6,3241
D6,4
E6,2
F6,2
G6,2
H6,0
A7,1628
B7,1672
C7,1597
D7,3
E7,2
F7,1
G7,3
H7,5
A8,1588
B8,5090
C8,12338
D8,6
E8,4
F8,1
G8,2
H8,1
A9,1506
B9,1662
C9,1662
D9,8
E9,2
F9,4
G9,17
H9,1
A10,1557
B10,4533
C10,9035
D10,2
E10,5
F10,2
G10,3
H10,2
A11,1501
B11,5847
C11,10363
D11,4
E11,5
F11,2
G11,2
H11,0
A12,1465
B12,4589
C12,8344
D12,5
E12,6
F12,1
G12,1
H12,1

